"yearOfStart","CurrentState","sizeOfsite"
2010,"Out",0
2014,"In",60.9
2012,"In",32
2003,"Out",20.1
2003,"In",4.95
2003,"Out",120
2013,"Out",23.41
2004,"Out",43.29
2011,"Out",23.8
2011,"In",70.4
2012,"In",33.2
2013,"In",227.31
2013,"Out",45.34
2011,"Out",26.52
2012,"In",92.23
2001,"In",110.63
2013,"In",41.2
2014,"In",75.7
2008,"In",45.69
2014,"In",98.58
2013,"In",50.6
2011,"Out",147.22
2010,"Out",35.04
2009,"In",112.94
2013,"In",190.67
2014,"In",11.8
2012,"In",150
2012,"In",36
2012,"In",80.02
2013,"In",20.42
2010,"In",256.38
2011,"In",120.56
2014,"In",308.27
2014,"In",98.44
2014,"In",106.92
2012,"In",7.28
2011,"In",122.08
2012,"In",141.79
2011,"In",336.87
2011,"In",112
2011,"Out",42.12
2009,"Out",69.3
2012,"In",6.3
2010,"In",7.75
2013,"In",77.33
2013,"In",68.95
2010,"In",29.88
2012,"Out",68
2014,"Out",106.42
2013,"In",62.84
2013,"Out",51.48
2014,"In",61.28
2014,"In",55
2014,"In",66.38
2014,"In",53.6
2014,"In",79.67
2013,"In",93.4
2014,"In",47
2013,"In",33
2014,"In",42.9
2013,"In",135.81
2014,"In",22.85
2014,"In",34.65
2014,"In",79.58
2014,"In",60.2
2014,"In",48.77
2014,"In",71.94
2014,"In",62.81
2014,"In",79.72
2013,"In",190
2014,"In",58.3
2014,"In",231
2013,"In",53.9
2013,"In",76.03
2014,"In",66
2014,"In",40
2014,"In",91.87
2014,"In",30
2014,"In",57.5
2014,"In",59.4
2014,"In",57.18
2014,"In",46
2014,"Out",38.99
2014,"In",45.08
2014,"In",72.07
2014,"In",53.7
2014,"In",63.95
2014,"In",29.15
2014,"In",91.15
2014,"In",46.88
2014,"In",68.52
2014,"In",65.01
2014,"In",51.3
2014,"In",40.76
2014,"In",35.16
2013,"In",133.52
2014,"In",53.68
2014,"In",74.88
2014,"In",46.25
2014,"In",146.13
2014,"In",91.21
2013,"In",77.33
2009,"Out",42
2010,"In",98.98
2011,"In",51.98
2013,"Out",130.98
2014,"In",25.8
2013,"Out",33
2014,"In",170.92
2012,"In",184.16
2012,"Out",19.7
2014,"Out",23
2012,"Out",39.02
2013,"In",27.2
2011,"In",104.8
2013,"Out",217.26
2013,"In",320.34
2014,"In",73.83
2013,"Out",28.52
2014,"Out",28.31
2012,"In",56.63
2013,"Out",30.4
2013,"Out",30.38
2013,"Out",12.96
2013,"In",42.7
2008,"In",55.29
2008,"In",65
2010,"In",75.87
2009,"In",85.8
2013,"In",99.57
2010,"In",97.42
2013,"In",66
2013,"In",16
2014,"In",25.02
2012,"In",40.73
2013,"In",36.57
2013,"In",4.76
2014,"In",59.55
2014,"In",23.8
2014,"In",33
2010,"Out",17.5
2011,"Out",35.13
2013,"In",155.76
2013,"Out",97.35
2011,"Out",25.03
2013,"In",60.76
2012,"In",93.72
2013,"In",31.62
2013,"Out",47.88
2014,"In",57.7
2012,"Out",13.19
2012,"In",61
2014,"In",36
2010,"In",33.72
2006,"In",11.88
2006,"In",6.18
2012,"In",23.31
2011,"In",13.44
2011,"In",15.84
2003,"In",52.6
2013,"Out",98.98
2007,"Out",23.14
2010,"In",39.15
2014,"In",90.63
2013,"In",68.48
2010,"In",66.9
2013,"In",82.98
2013,"In",9.26
2010,"Out",26.07
2010,"In",44.1
2014,"In",61.2
2013,"In",24.73
2011,"In",49.5
2004,"Out",7.54
2004,"In",7.23
2013,"In",13.92
2013,"In",21.07
2008,"In",30.77
2009,"In",9.02
2007,"In",16.38
2012,"In",93.06
2011,"In",13.85
2014,"In",87.4
2012,"In",16.93
2012,"In",22.41
2009,"In",71.28
2008,"In",8.25
2013,"In",11.9
2010,"In",22.7
2011,"In",45.3
2013,"In",33
2012,"In",99.36
2010,"In",47.79
2005,"In",23.11
2004,"Out",9.25
2010,"In",83.07
2005,"In",79.54
2010,"Out",0
2014,"In",36.5
2013,"In",68
2014,"In",66
2012,"In",66.1
2007,"In",31.5
2010,"In",49.01
2006,"In",14.82
2014,"In",30.92
2005,"In",0
2009,"In",13.22
2014,"In",60.39
2011,"In",45
2011,"In",82
2012,"In",19.75
2013,"In",27.27
2009,"In",90
2010,"In",20
2008,"In",38.34
2010,"Out",90.52
2011,"In",51.04
2013,"In",75
2011,"In",18.63
2011,"In",20.76
2011,"In",149.2
2013,"In",54.42
2010,"In",79.3
2014,"In",19.58
2011,"In",62.31
2010,"Out",52.34
2014,"In",53.6
2013,"In",39.25
2011,"In",55.93
2014,"In",31.13
2011,"In",22.25
2014,"In",203.4
2011,"Out",23.15
2003,"In",42
2013,"In",60.39
2010,"In",60.97
2009,"Out",206.62
2014,"In",160
2014,"In",33
2006,"Out",10.56
2005,"Out",12.54
2014,"In",27.68
1997,"In",40.5
2011,"In",18.14
2010,"In",21.45
2012,"In",22.74
2014,"In",55.33
2005,"In",10.83
2012,"In",38.4
2009,"In",52.82
2010,"Out",59.92
2004,"Out",19.8
2013,"In",34.7
2014,"In",45.99
2011,"In",8.36
2013,"In",156.36
2012,"In",18.18
2010,"In",35.64
2012,"In",11.07
2011,"In",40.81
2012,"In",63.11
2013,"Out",87.97
2011,"In",96.01
2013,"In",40.17
2011,"In",12.23
2014,"In",22.3
2013,"In",34.13
2013,"In",43
2013,"In",47.29
2009,"In",22.5
2011,"In",101.78
2006,"In",72.54
2014,"In",104.36
2014,"In",17.58
2014,"In",66.24
2007,"Out",13.2
2013,"In",13.3
2013,"In",82.02
2011,"In",23.4
2010,"In",67.15
2013,"In",122.4
2010,"In",9.36
2011,"In",40.73
2006,"Out",59.4
2013,"In",19.5
2014,"In",23.75
2014,"In",11.5
2010,"In",134.99
2012,"In",70.9
2011,"In",33.06
2010,"In",13.88
2010,"In",15.92
2014,"In",39.06
2012,"In",15.09
2010,"Out",32.46
2010,"Out",63.05
2010,"In",13.2
2011,"In",135.45
2014,"In",71.92
2011,"In",15.62
2006,"Out",33.62
2004,"In",31.33
2004,"Out",91.34
2014,"In",82.48
2014,"In",12.1
2010,"Out",33
2014,"In",27.3
2011,"Out",103.02
2010,"In",109.92
2007,"Out",8.51
2007,"In",15.37
2006,"Out",102.43
2013,"In",19.94
2012,"Out",53
2013,"In",19.6
2006,"In",14
2007,"Out",32
2011,"In",24
2012,"In",26.46
2007,"Out",19.67
2006,"In",11.76
2012,"In",43.2
2013,"In",47.69
2011,"In",73.9
2013,"In",55.45
2009,"In",6.24
2014,"In",40.74
2014,"In",58.9
2013,"In",279.7
2013,"In",297
2011,"In",31
2013,"In",80.82
2011,"In",10
2012,"Out",26.95
2012,"In",23
2011,"In",35.77
2010,"In",19.61
2013,"In",42.9
2008,"In",35.97
2010,"Out",19.8
2013,"Out",60
2011,"In",38.22
2003,"Out",46.36
2012,"Out",104
2011,"Out",14.7
2011,"In",106.62
2004,"Out",78.4
2011,"Out",46
2013,"In",62.92
2010,"In",144.4
2014,"In",42.9
2013,"Out",42.97
2008,"Out",28
2014,"In",135.86
2006,"Out",34
2013,"In",80.04
2012,"In",45
2009,"Out",45.88
2012,"In",45
2011,"Out",38.02
2014,"Out",70.32
2010,"In",183.22
2013,"In",143.25
2010,"In",45.88
2012,"In",23.94
2011,"In",26.69
2006,"In",18.7
2012,"Out",133.74
2011,"Out",131.94
2003,"In",89.1
2010,"Out",230
2012,"In",94.36
2011,"In",40.2
2013,"Out",101.88
2009,"In",21
2007,"Out",49.57
2011,"In",82.6
2011,"In",338.03
2013,"In",40
2013,"Out",102.15
2013,"In",45.05
2010,"Out",22.5
2012,"In",35.83
2009,"Out",25.7
2012,"In",35.1
2007,"Out",43
2013,"Out",20
2013,"In",139.64
2014,"In",33.6
2012,"In",99
2010,"Out",0
2011,"In",63.77
2012,"In",26.4
2014,"In",72
2008,"Out",34.78
2010,"Out",63.51
2012,"Out",83.25
2014,"In",235.45
2011,"In",44.84
2014,"In",102.52
2008,"In",491.04
2009,"Out",96.33
2012,"Out",104
2013,"In",41.84
2013,"In",123.91
2014,"In",109
2014,"Out",22.58
2012,"In",20.93
2014,"In",286.83
2014,"Out",66
2010,"Out",85.44
2012,"Out",33.06
2013,"In",50.6
2012,"In",33.6
2007,"In",32.13
2013,"In",39.96
2014,"In",25.26
2014,"Out",14.7
2012,"In",19
2009,"Out",17.2
2011,"Out",40.29
2013,"Out",40.5
2013,"Out",132.26
2014,"In",61.67
2014,"Out",92.7
2012,"In",30.17
2012,"In",49.5
2011,"Out",29.25
2013,"In",55.9
2011,"Out",123.71
2014,"In",51.01
2012,"In",67.1
2006,"Out",0
2013,"In",45.54
2012,"In",71.08
2012,"Out",25.47
2009,"In",48.75
2012,"In",113.72
2012,"In",29.75
2013,"In",0
2014,"In",62.26
2013,"Out",32.76
2011,"Out",40
2013,"In",89
2013,"In",23.01
2014,"In",49.35
2011,"In",75.73
2003,"In",46.28
2011,"In",13.2
2013,"In",72.09
2009,"In",70.5
2013,"In",103
2006,"In",78
2014,"In",295.9
2013,"In",114
2012,"In",9.9
2009,"In",170.6
2012,"In",89.1
2012,"Out",0
2013,"In",53.15
2013,"In",31.4
2010,"In",67.28
2007,"In",76.95
2014,"In",53.96
2007,"In",49.59
2006,"In",74.92
2009,"In",43.88
2008,"In",100
2002,"In",30.84
2012,"In",63.24
2009,"In",68.01
2009,"In",21.9
2009,"In",70.25
2005,"In",92.11
2011,"In",31.54
2006,"Out",61.88
2006,"Out",50.68
2010,"Out",89.19
2012,"Out",166.41
2012,"Out",216.36
2012,"In",258.3
2010,"In",86.31
2009,"In",27.2
2009,"Out",70.78
2010,"Out",43.82
2014,"In",29.7
2014,"Out",109.21
2012,"In",24.05
2012,"In",23.76
2012,"In",17.02
2013,"In",15.25
2014,"In",28.5
2011,"Out",22.75
2012,"In",91.08
2014,"In",22
2009,"Out",29.7
2014,"In",27
2012,"In",22.68
2014,"In",41.16
2013,"Out",24075
2012,"In",56.19
2014,"In",59.11
2012,"Out",98.42
2012,"In",29.64
2003,"Out",24.65
2008,"In",26.13
2010,"Out",31.05
2009,"In",19.23
2011,"In",33
2008,"Out",12.56
2013,"Out",10.25
2008,"In",26.45
2010,"Out",14.5
2010,"In",33.75
2012,"Out",29
2009,"In",23.1
2010,"Out",0
2008,"Out",51.8
2012,"In",214.74
2011,"In",31
2014,"In",47.4
2011,"In",26.4
2014,"In",112.09
2013,"Out",150
2007,"Out",49.34
2008,"Out",14.4
1999,"Out",11.61
2014,"In",13.2
2013,"Out",64.8
2007,"Out",25.17
2014,"In",22.77
2012,"In",16.34
2011,"Out",16.34
2011,"Out",3.6
2013,"Out",51.9
2009,"Out",53.19
2010,"In",72.73
2014,"In",181.7
2007,"In",65.25
2011,"Out",8.29
2014,"In",40.7
2010,"In",6.6
2012,"Out",23.88
2014,"In",85.41
2013,"In",29.3
2012,"Out",46.5
2011,"In",41.72
2011,"In",31.36
2009,"Out",86.28
2006,"In",34.34
2011,"In",89.26
2014,"In",14.3
2014,"In",99.06
2013,"In",89.68
2011,"In",34.19
2010,"In",125.74
2012,"In",124.7
2011,"In",136.5
2012,"Out",145
2013,"In",128.4
2013,"In",17.4
2011,"Out",26.68
2012,"In",62.72
2010,"In",59.13
2014,"In",44.6
2011,"Out",38.8
2014,"In",50
2012,"In",113.83
2014,"In",144.31
2010,"In",49.89
2014,"In",25.6
2011,"In",59.5
2010,"In",21.6
2013,"In",38.61
2008,"Out",66.43
2009,"In",15.57
2011,"Out",18.75
2010,"Out",18.75
2014,"In",50
2011,"In",33
2012,"In",55.02
2012,"In",124
2014,"In",163.68
2013,"In",82.04
2011,"In",28.6
2013,"In",146
2009,"In",48.64
2009,"In",43.08
2010,"In",32.49
2010,"In",37.72
2014,"In",82.51
2014,"Out",109.62
2008,"Out",115.6
2010,"In",32.74
2011,"In",109.04
2010,"Out",16.5
2009,"In",21
2011,"In",103.92
2012,"Out",219.04
2010,"Out",63.1
2013,"In",64.2
2013,"In",67
2014,"In",13
2011,"In",33
2011,"In",29.88
2012,"In",104.4
2010,"Out",81.9
2014,"In",37.54
2011,"In",30.3
2010,"Out",60.5
2014,"In",84.51
2008,"In",91
2014,"In",85.06
2014,"In",44.44
2004,"Out",61.89
2009,"In",26.77
2012,"In",25.97
2006,"Out",59.4
2014,"In",37.83
2012,"In",21.32
2013,"In",63.24
2007,"Out",58.31
2012,"In",74.45
2013,"In",54.5
2012,"In",29.96
2011,"In",173.3
2011,"In",104.9
2008,"Out",19.29
2013,"In",109.5
2008,"In",102.25
2006,"In",49.5
2008,"Out",36
2009,"Out",54.45
2011,"Out",13.22
2009,"In",39.6
2011,"Out",32.12
2009,"Out",17.83
2009,"Out",28.8
2012,"In",55.44
2008,"In",39.6
2009,"Out",48.64
2009,"Out",52.8
2010,"In",27.88
2009,"In",20.28
2007,"Out",17
2013,"Out",6.6
2014,"In",11.16
2009,"Out",43.91
2009,"Out",28.11
2009,"In",78.72
2008,"Out",46.6
2009,"Out",0
2010,"In",71.48
2011,"Out",72.56
2011,"Out",82.5
2010,"Out",65.96
2012,"In",71
2012,"Out",30.52
2011,"Out",37.96
2009,"In",26.28
2012,"In",24.25
2014,"In",8.6
2011,"Out",41
2012,"Out",22.49
2014,"In",39.14
2012,"In",10
2013,"In",17.4
2012,"In",22.49
2013,"In",9
2010,"Out",32
2013,"In",40.26
2014,"In",69.84
2011,"Out",72.45
2011,"In",72.45
2011,"In",62.7
2011,"In",24
2013,"In",15
2009,"In",115.5
2013,"In",73.45
2011,"In",30.8
2010,"In",34.9
2013,"In",20.25
2011,"In",18.7
2011,"In",21
2012,"Out",20.88
2011,"Out",82.15
2011,"Out",57
2011,"In",12.3
2012,"Out",99.32
2011,"In",15.17
2013,"In",103.72
2011,"In",31.5
2011,"In",0
2012,"Out",64.8
2012,"Out",0
2011,"Out",21.23
2013,"In",55.74
1997,"Out",0
1992,"Out",139.47
2013,"In",66.37
2014,"In",220.7
2014,"In",90.6
2014,"Out",90.6
2012,"In",39.6
2014,"In",105.74
2014,"In",146.96
2014,"In",198.35
2013,"Out",0
2008,"In",45.29
2008,"Out",34.68
2012,"In",31.92
2010,"In",31.42
2011,"In",122.32
2014,"In",46.1
2013,"Out",40.48
2014,"In",36.87
2010,"Out",55.88
2012,"In",16.56
2012,"Out",16.5
2014,"In",16.5
2013,"In",52.2
2009,"Out",66
2011,"In",38.13
2008,"Out",57.46
2011,"In",67.06
2011,"In",44.2
2012,"In",22.4
2004,"Out",19.95
2011,"Out",47.55
2014,"In",6.9
2009,"In",29.6
2008,"In",48.97
2013,"Out",46.58
2009,"Out",49.97
2012,"In",64.84
2014,"In",41.98
2014,"Out",68.3
2014,"In",65.7
2013,"In",103.74
2013,"Out",51.76
2014,"Out",13.02
2014,"In",56.18
2014,"In",39.72
2005,"Out",37.62
2014,"In",30.08
2010,"In",49.5
2010,"In",46.12
2013,"In",75.79
2011,"Out",23.84
2012,"Out",38.78
1985,"Out",0
2014,"Out",91.38
2013,"Out",466.59
2006,"In",87.37
2012,"In",231.4
2014,"In",33
2006,"In",58.8
2012,"Out",17.76
2014,"In",41.76
2011,"In",19.35
2012,"In",36.74
2012,"Out",58.07
2012,"In",36
2012,"Out",127.64
2013,"In",22.95
2014,"In",76.73
2012,"Out",172.8
2014,"In",18.9
2011,"Out",32.4
2009,"In",109
2013,"In",28.5
2013,"In",49.8
2010,"In",8
2013,"In",31.18
2014,"In",92.48
2013,"In",44.1
2014,"In",150.3
2014,"In",34.48
2009,"Out",72
2014,"In",98.92
1980,"Out",0
2013,"In",15.3
2011,"In",88.74
2002,"Out",36.14
2011,"In",38.8
2010,"In",46.96
2014,"In",83.53
2011,"Out",74.71
2010,"Out",0
2008,"Out",5.25
2013,"In",27.49
2010,"In",9
2011,"In",85
2013,"In",13
2011,"In",127.03
2010,"In",79.74
2014,"In",207
2014,"In",46.36
2010,"Out",22.04
2014,"In",69.13
2014,"In",64.4
1998,"In",231.75
2013,"In",123.64
2007,"Out",116.64
2014,"In",159.65
2012,"Out",93.6
2014,"In",11.76
2014,"In",20.3
2010,"Out",66
2013,"In",36.6
2014,"Out",87
2014,"In",30
2014,"In",102.01
2013,"In",30
2010,"Out",0
2011,"In",56.42
2012,"In",99.8
2014,"In",21.84
2006,"In",86.49
2014,"Out",43.86
1998,"Out",41.16
2013,"In",82.08
2012,"In",76
2013,"In",45.08
2010,"Out",78.72
2014,"In",148.7
2014,"In",33
2011,"In",44.29
2011,"In",148.1
2007,"In",36
2014,"In",116.64
2011,"Out",29.63
2011,"In",29.75
2005,"Out",30.8
2011,"In",59.67
2006,"In",30.96
2013,"In",81.7
2010,"Out",12.56
2012,"Out",19.19
2013,"In",30
2011,"In",64.8
2013,"In",20
2012,"Out",2.63
2014,"In",17.5
2010,"Out",41
2014,"In",11.28
2014,"In",36
2014,"In",12.4
2014,"In",79.2
2006,"In",43.2
2003,"In",33
2010,"In",23
2008,"Out",58.7
2008,"Out",16.5
2007,"In",32.55
2014,"Out",54.21
2013,"In",32.18
2010,"In",141
2003,"In",8.96
2013,"In",19.6
2010,"In",29.71
2012,"Out",26.13
2014,"In",110.7
2014,"In",40
2006,"In",14.35
2014,"In",127.34
2013,"In",15.8
2014,"In",16.62
2008,"In",12
2014,"In",63.18
2013,"In",39.69
2013,"In",0
2013,"In",20.46
2009,"Out",32
1996,"In",54.95
2011,"In",16.6
2013,"Out",46.49
2009,"Out",45.48
2009,"In",36.72
2000,"Out",180.3
2010,"Out",107.2
2013,"In",59.17
2013,"In",105.35
2014,"Out",53.75
2014,"In",64.78
2009,"In",41.98
2003,"Out",16.5
2002,"Out",33
2004,"Out",18.6
2013,"Out",9.51
2008,"In",91.27
2005,"Out",34.1
2012,"Out",37.34
2012,"In",9.84
2012,"Out",30.98
2010,"Out",68.55
2011,"In",58
2013,"In",83.47
2014,"In",89.49
2012,"In",32.5
2012,"In",26.73
2010,"In",32.76
2013,"In",28.43
2013,"In",37
NA,NA,NA
2010,"Out",20.01
2011,"Out",6.6
2012,"Out",99.82
2014,"In",23.9
1967,"Out",79.81
2004,"Out",71.28
2014,"In",16.02
2014,"In",81.51
2014,"In",81.09
2011,"In",19.8
2010,"Out",35.82
2012,"In",17.89
2011,"In",33.75
1998,"In",109.91
2008,"In",121.6
2005,"Out",0
2014,"In",27.69
2012,"In",42
2012,"In",41.24
2013,"Out",63
2014,"In",16.53
2013,"Out",23.14
2010,"Out",29.75
2013,"In",62.5
2012,"In",20
2013,"In",62.25
2014,"In",21.6
2011,"In",33
2013,"In",45.12
2014,"In",21.42
2012,"Out",32.7
2013,"In",14.1
2009,"In",65.19
2013,"In",30.16
2011,"In",29.44
2008,"Out",27.26
2010,"Out",95.68
2011,"In",29
2014,"In",27.72
2010,"In",56.38
2008,"Out",16.92
2014,"In",28.88
2008,"In",76.79
2014,"In",32.9
2013,"In",10.89
2014,"In",94.71
2012,"In",40.18
2012,"Out",81.32
1985,"Out",93.1
2008,"Out",21.31
2013,"In",8.19
2012,"In",123.3
2007,"Out",22.14
2006,"Out",183.37
2014,"Out",27.6
2011,"Out",53.58
2014,"In",61.39
2009,"Out",17.45
2009,"Out",61.38
2012,"In",490
2010,"In",45.11
2010,"In",22.42
2014,"In",212.99
2014,"Out",33
2013,"In",40.04
2014,"In",97
2003,"Out",65.78
2013,"Out",0
2009,"In",31.2
2007,"Out",85.1
2007,"Out",78.99
2007,"Out",77.86
2003,"Out",57.18
2010,"In",53.55
2011,"Out",26.38
2012,"Out",101.01
2013,"Out",95.35
2014,"In",15
2012,"In",65
2013,"In",55.8
2014,"In",50.88
2014,"Out",0
2005,"In",68.88
2014,"In",99
2009,"Out",59.4
2013,"In",45.9
2012,"Out",0
2011,"In",26.46
2014,"In",17.5
2014,"In",211.2
2013,"In",75.8
2011,"Out",59.2
2011,"In",108.99
2010,"Out",53.6
2014,"In",12.22
2014,"In",73.15
2005,"Out",48.76
2004,"Out",60.93
2011,"In",206.91
2005,"Out",79.36
2003,"Out",65.71
2011,"In",41.9
2014,"In",41.33
2014,"In",23.37
2014,"In",52.89
2011,"In",28.34
2012,"Out",33
2014,"In",19.53
2014,"In",68.16
2012,"In",85.5
2013,"In",48.96
2009,"In",139.62
2011,"In",88.6
2010,"Out",88.6
2010,"In",140.79
2010,"In",142.04
2009,"In",48.82
2014,"Out",106.26
2012,"In",375.87
2013,"In",300.27
2013,"In",96.38
2013,"Out",63.2
2013,"In",86.9
2014,"In",148.96
2014,"In",79.79
2014,"In",50
2011,"In",30.03
2014,"In",203.27
2012,"Out",71.95
2014,"In",36.3
1991,"Out",0
2012,"In",98.14
2013,"In",23
2013,"In",38.5
2014,"In",87.89
2012,"Out",25
2011,"In",54.6
2007,"In",29
2012,"In",44
2014,"In",60.32
2011,"In",40.18
2004,"Out",33
2007,"Out",60.32
2003,"Out",69.68
2008,"In",48.78
2007,"In",89
2012,"In",34.19
2010,"Out",0
2007,"Out",33
2013,"In",71
2001,"In",104
2010,"In",20.64
1993,"In",153
2012,"In",264.04
2012,"In",12.96
2012,"In",36.12
2014,"In",19.63
2014,"In",178
2014,"In",94.78
2014,"In",9.72
2014,"In",12
2013,"In",124.65
2012,"In",18.49
2012,"In",32.96
2013,"In",35.56
2012,"Out",50.05
2003,"In",34.75
2012,"In",49.22
2011,"In",51.46
1991,"Out",69.04
2014,"In",24.1
2009,"In",5.75
2007,"In",21.2
2011,"In",31.53
2012,"Out",0
2013,"In",21.09
2013,"In",33
2011,"In",31.67
2011,"In",37.45
2012,"In",53.9
2013,"In",0
2006,"Out",95.2
2009,"In",32
2014,"In",12
1989,"Out",0
2014,"In",15.03
2010,"Out",193.05
2014,"In",47.14
2010,"In",19.14
2014,"In",18
2013,"In",155.25
2014,"Out",0
2004,"Out",33.94
2014,"In",38.05
2011,"Out",55.09
2012,"In",54
2011,"In",52.25
2011,"In",191.2
2014,"In",63
2008,"Out",74.74
1999,"Out",30.96
2007,"Out",42.12
2012,"In",59.4
2011,"Out",16.5
2009,"Out",95.38
2006,"Out",90.38
2012,"Out",37.23
2008,"Out",71
2012,"Out",75.5
2011,"In",128.29
2011,"Out",43
2012,"In",119
2014,"In",212.27
2013,"In",299.38
2013,"In",198.51
2014,"In",146
2014,"In",153.51
2014,"Out",0
2011,"In",237.62
2011,"Out",258.4
2013,"In",332.47
2013,"In",206.28
2011,"In",120
2013,"In",142.14
2014,"In",98.86
2014,"In",91.8
2014,"In",315.76
2014,"In",374.01
2012,"In",91
2013,"In",156.77
2013,"In",203.8
2014,"In",224.64
2014,"In",179.08
2014,"In",10.08
2013,"In",128
2011,"Out",0
2014,"In",227.72
2013,"In",35.3
2014,"In",324.69
2012,"In",76.16
2014,"In",185.36
2012,"In",131.95
2014,"In",124.82
2014,"In",340.08
2012,"Out",165.65
2012,"In",93.3
2014,"In",158.13
2014,"In",154.74
2014,"In",133.2
2011,"In",251.96
2014,"In",151.2
2013,"In",157.61
2013,"In",30.02
2014,"In",115.09
2012,"In",291.27
2013,"In",129.78
2012,"In",128.36
2012,"Out",175.02
2013,"In",224.34
2014,"In",391.45
2014,"In",165
2013,"In",194.15
2014,"In",283.71
2014,"In",252.6
2014,"In",133.4
2012,"In",167.59
2014,"In",446.44
2013,"In",206.4
2013,"In",184.73
2012,"In",296.32
2013,"In",100.75
2014,"In",284.18
2012,"In",20.71
2014,"In",153.74
2013,"In",124.53
2013,"In",164.72
2013,"In",252.89
2013,"In",231.82
2012,"In",132.84
2011,"Out",143.1
2013,"In",382.62
2013,"In",77.5
2013,"In",201.2
2013,"In",180
2013,"In",110.29
2013,"In",273.24
2012,"In",115.24
2013,"In",364.68
2011,"Out",137.67
2013,"Out",332.48
2013,"In",0
2012,"In",103.8
2012,"In",431.39
2013,"In",183.3
2014,"In",124.25
2013,"In",158.22
2013,"In",247.5
2014,"In",174.9
2012,"In",237
2014,"In",179.52
2014,"In",163
2013,"In",338.3
2013,"Out",170.1
2012,"In",239.14
2014,"In",183.72
2012,"In",201.28
2014,"In",187.93
2013,"In",114.52
2013,"In",510.5
2011,"In",136.8
2013,"In",139.75
2012,"In",100
2014,"In",461.08
2013,"In",178.62
2009,"In",191.5
2013,"In",110.06
2014,"In",165
2014,"In",215.98
2013,"In",203.21
2013,"In",241.59
2013,"In",198.8
2013,"Out",327.25
2012,"In",191.2
2013,"In",143
2013,"In",161.28
2014,"In",179.4
2013,"In",20.2
2013,"In",26.1
2012,"In",204.54
2013,"In",156.78
2014,"In",363
2014,"In",336.09
2014,"In",229.5
2012,"In",298.98
2011,"In",283.2
2014,"In",250
2011,"In",28.6
2014,"Out",42.9
2012,"In",45.6
2013,"Out",0
2014,"In",25
2009,"In",16.94
2013,"In",53.58
2006,"Out",24.57
2005,"In",100.57
2014,"In",47.79
2014,"Out",42.48
2010,"In",12.54
2013,"In",38.87
2013,"In",24.09
2014,"In",18.64
2012,"In",82.5
2012,"In",69.58
2014,"In",247.26
2010,"Out",83.83
2011,"Out",26.4
2014,"In",41.23
2011,"In",104.46
2006,"Out",33.05
2011,"In",33
2008,"Out",84.7
2013,"In",103.35
2014,"In",52.89
2012,"In",179.04
2014,"Out",46.42
2013,"In",41.6
2013,"In",28.52
2013,"In",47.44
2011,"Out",42
2013,"In",93.08
2014,"In",33.06
2013,"In",52.99
2012,"In",26.27
2008,"Out",30
2011,"In",30
2011,"Out",34
2014,"In",67.5
2014,"In",32.76
2014,"In",31.8
2010,"Out",47.04
2012,"In",154.7
2009,"In",260
2013,"In",40.4
2012,"In",122.04
2014,"In",160
2011,"In",103.64
2014,"In",195.33
2013,"In",31.98
2004,"Out",40.92
2004,"Out",11.6
2011,"In",8.88
2014,"In",61.62
2007,"Out",85.68
2014,"In",58.58
2014,"In",28.56
2014,"In",114.3
2011,"In",19.7
2014,"Out",0
2004,"Out",80.87
2013,"In",45.71
2014,"In",55.53
2014,"In",16.24
2012,"In",49.5
2008,"Out",134.9
2013,"In",82.31
2012,"Out",14.07
2013,"In",14.07
2014,"In",46.85
2010,"Out",43
2009,"Out",22.2
2012,"In",29.05
2009,"Out",42.64
2011,"Out",51.45
2011,"In",20.6
2011,"In",36
2011,"In",23.22
2013,"In",327.57
2011,"Out",27.85
2009,"Out",406.81
2013,"In",207.99
2009,"Out",178.5
2013,"In",82.5
2014,"In",12
2014,"In",179.86
2014,"In",475.6
2012,"In",77
2013,"Out",62.75
2009,"Out",12.5
2011,"In",15
2014,"In",49.5
2013,"In",19.72
2011,"In",7.17
2014,"Out",46.23
2005,"Out",4.75
2001,"Out",30
2003,"Out",87.59
2004,"Out",34.6
2014,"In",39.7
2014,"In",99
2014,"In",144.5
2012,"In",70
2007,"Out",25.53
2007,"Out",29.1
2010,"Out",19.51
2014,"In",27.2
2003,"Out",65.08
2014,"In",203
2011,"In",16.53
2010,"Out",37.8
2011,"Out",60.1
2012,"In",207.33
2013,"In",44
2008,"Out",21
2008,"Out",68.5
2012,"In",135.04
2013,"In",31.96
2007,"In",176.14
2012,"Out",10
2004,"Out",14
2014,"In",97
2014,"In",70
2009,"In",40.42
2010,"Out",10.15
2010,"In",109
2011,"Out",203.28
2010,"Out",66
2014,"In",139
1999,"In",50.5
2013,"Out",57.91
2011,"Out",81
2013,"Out",81
2011,"In",37.83
2013,"In",106.96
2013,"In",84.84
2006,"Out",39.6
2013,"Out",113.64
2014,"In",84.33
2007,"Out",69.3
2006,"Out",12.6
2007,"Out",40.52
2014,"In",33.6
2013,"Out",52.85
2010,"Out",143.88
2011,"Out",81.72
2013,"In",63
2004,"In",264
2013,"In",75.19
2013,"Out",34.41
2007,"In",8
2014,"In",109.57
2013,"In",68
2014,"In",80.43
2014,"In",19.8
2011,"Out",94.14
2013,"In",132.47
2007,"In",37.68
2013,"In",90.72
2014,"In",423.3
2012,"In",36.96
